keynum,methodName,methodOfClass,projectName,SIZE,LCOM1,LCOM2,LCOM4,COH,CC,DR,NOAV,WMA,code
90,"makePathRelativeIfPossible(File,File)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\JSmoothModelPersistency.java,jsmooth,39,597,453,4,0.106,0.0962,0,13,16,"static public File makePathRelativeIfPossible(File root,File f){
  if (f.toString().indexOf(""${"") >= 0)   return f;
  File orgfile=f;
  try {
    if (f.isAbsolute() == false) {
      f=new File(root,f.toString());
    }
    f=f.getCanonicalFile();
    f=f.getAbsoluteFile();
    root=root.getCanonicalFile();
    root=root.getAbsoluteFile();
  }
 catch (  IOException iox) {
    iox.printStackTrace();
    System.out.println(""Failed, returning "" + orgfile);
    return orgfile;
  }
  Vector rootvec=new Vector();
  Vector targetvec=new Vector();
  File cur;
  cur=root;
  while (cur != null) {
    String n=cur.getName();
    if (n.equals(""""))     n=cur.getAbsolutePath();
    rootvec.add(0,n);
    cur=cur.getParentFile();
  }
  cur=f;
  while (cur != null) {
    String n=cur.getName();
    if (n.equals(""""))     n=cur.getAbsolutePath();
    targetvec.add(0,n);
    cur=cur.getParentFile();
  }
  int cursor=0;
  while ((cursor < rootvec.size()) && (cursor < targetvec.size())) {
    if (rootvec.elementAt(cursor).equals(targetvec.elementAt(cursor)) == false)     break;
    cursor++;
  }
  if (cursor == 0)   return f;
  if ((cursor == rootvec.size()) && (cursor == targetvec.size()))   return new File(""."");
  StringBuffer buffer=new StringBuffer();
  for (int i=cursor; i < rootvec.size(); i++) {
    buffer.append(""../"");
  }
  for (int i=cursor; i < targetvec.size(); i++) {
    buffer.append(targetvec.elementAt(i).toString());
    buffer.append(""/"");
  }
  return new File(buffer.toString());
}
"
91,main(String[]),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\JSmoothModelPersistency.java,jsmooth,15,89,73,5,0.15,0.0673,0,9,1,"static public void main(String[] args){
  File root=new File(""z:/a/b/c/d"");
  File t1=new File(""z:/a/b/e/f"");
  File t2=new File(""c:/t/r"");
  File t3=new File(""z:/a/b/c/d/i/m"");
  File t4=new File(""z:/a/b/c/d"");
  System.out.println(""Rel root, t1: "" + makePathRelativeIfPossible(root,t1));
  System.out.println(""Rel root, t2: "" + makePathRelativeIfPossible(root,t2));
  System.out.println(""Rel root, t3: "" + makePathRelativeIfPossible(root,t3));
  System.out.println(""Rel root, t4: "" + makePathRelativeIfPossible(root,t4));
  File f1=new File(""f:\\a\\b"");
  File f2=new File(""f:\\a\\c"");
  File f3=new File(f1,f2.toString());
  System.out.println(""f3 = "" + f3.toString());
}
"
98,"makeProperties(File,JSmoothModelBean)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\PropertiesBuilder.java,jsmooth,50,837,449,8,0.1169,0.1548,0.157894737,14,19,"/** 
 * Creates a text containing all the relevant properties of a
 * JSmoothModelBean object. The properties are output in the form
 * ""key=value"".
 * <p>
 * Note that all the paths are converted to be made relative to
 * the basedir parameter provided. All the paths converted are
 * expected to be relative to the targetted executable binary
 * (before the conversion is applied, that is).
 */
static public String makeProperties(File basedir,JSmoothModelBean obj){
  StringBuffer out=new StringBuffer();
  addPair(""arguments"",obj.getArguments(),out);
  addPair(""mainclassname"",obj.getMainClassName(),out);
  addPair(""jvmsearch"",makePathConc(obj.getJVMSearchPath()),out);
  addPair(""minversion"",obj.getMinimumVersion(),out);
  addPair(""maxversion"",obj.getMaximumVersion(),out);
  addPair(""currentdir"",obj.getCurrentDirectory(),out);
  if (obj.getEmbeddedJar() && (obj.getJarLocation().trim().length() > 0)) {
    addPair(""embedjar"",""true"",out);
  }
 else {
    addPair(""embedjar"",""false"",out);
  }
  if (obj.getMaximumMemoryHeap() > 1) {
    addPair(""maxheap"",Integer.toString(obj.getMaximumMemoryHeap()),out);
  }
  if (obj.getInitialMemoryHeap() > 1) {
    addPair(""initialheap"",Integer.toString(obj.getInitialMemoryHeap()),out);
  }
  File curdir=new File(obj.getExecutableName()).getParentFile();
  if (curdir == null)   curdir=basedir.getAbsoluteFile();
  if (curdir.isAbsolute() == false) {
    curdir=new File(basedir,curdir.toString());
  }
  if (obj.getCurrentDirectory() != null) {
    File newcurdir=new File(obj.getCurrentDirectory());
    if (!""${EXECUTABLEPATH}"".equalsIgnoreCase(obj.getCurrentDirectory())) {
      if (newcurdir.isAbsolute() == false) {
        curdir=new File(curdir,newcurdir.toString());
      }
 else       curdir=newcurdir;
    }
  }
  if (obj.getBundledJVMPath() != null)   addPair(""bundledvm"",getRenormalizedPathIfNeeded(obj.getBundledJVMPath(),basedir,curdir),out);
  if (obj.getClassPath() != null) {
    String[] relcp=new String[obj.getClassPath().length];
    for (int i=0; i < relcp.length; i++) {
      relcp[i]=getRenormalizedPathIfNeeded(obj.getClassPath()[i],basedir,curdir);
    }
    addPair(""classpath"",makePathConc(relcp),out);
  }
  if (obj.getSkeletonProperties() != null) {
    for (int i=0; i < obj.getSkeletonProperties().length; i++) {
      JSmoothModelBean.Property prop=obj.getSkeletonProperties()[i];
      if (prop.getKey() != null) {
        String val=prop.getValue();
        if (val == null)         val="""";
        addPair(""skel_"" + prop.getKey(),val,out);
      }
    }
  }
  JavaPropertyPair[] javapairs=obj.getJavaProperties();
  if (javapairs != null) {
    addPair(""javapropertiescount"",new Integer(javapairs.length).toString(),out);
    for (int i=0; i < javapairs.length; i++) {
      addPair(""javaproperty_name_"" + i,javapairs[i].getName(),out);
      addPair(""javaproperty_value_"" + i,javapairs[i].getValue(),out);
    }
  }
  return out.toString();
}
"
100,escapeString(String),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\PropertiesBuilder.java,jsmooth,10,29,13,2,0.3333,0.3636,0,4,7,"static public String escapeString(String str){
  if (str == null)   return """";
  StringBuffer out=new StringBuffer();
  for (int i=0; i < str.length(); i++) {
    char c=str.charAt(i);
switch (c) {
case '\n':
      out.append(""\\n"");
    break;
case '\t':
  out.append(""\\t"");
break;
case '\r':
out.append(""\\r"");
break;
case '\\':
out.append(""\\\\"");
break;
default :
out.append(c);
}
}
return out.toString();
}
"
101,"addPair(String,String,StringBuffer)",D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\PropertiesBuilder.java,jsmooth,6,9,3,3,0.3333,0.2381,0,3,1,"static private void addPair(String name,String value,StringBuffer out){
  out.append(escapeString(name));
  out.append(""="");
  out.append(escapeString(value));
  out.append(""\n"");
}
"
102,makePathConc(String[]),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\application\PropertiesBuilder.java,jsmooth,7,13,5,3,0.4762,0.2333,0,3,4,"static public String makePathConc(String[] elements){
  StringBuffer buf=new StringBuffer();
  if (elements != null)   for (int i=0; i < elements.length; i++) {
    buf.append(elements[i]);
    if ((i + 1) < elements.length)     buf.append("";"");
  }
  return buf.toString();
}
"
105,open(),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\pe\PEFile.java,jsmooth,30,404,373,11,0.0652,0.0217,0.5,10,4,"public void open() throws FileNotFoundException, IOException {
  m_in=new FileInputStream(m_file);
  m_channel=m_in.getChannel();
  m_oldmsheader=new PEOldMSHeader(this);
  m_oldmsheader.read();
  long headoffset=m_oldmsheader.e_lfanew;
  m_header=new PEHeader(this,headoffset);
  m_header.read();
  int seccount=m_header.NumberOfSections;
  long offset=headoffset + (m_header.NumberOfRvaAndSizes * 8) + 24+ 96;
  for (int i=0; i < seccount; i++) {
    PESection sect=new PESection(this,offset);
    sect.read();
    m_sections.add(sect);
    offset+=40;
  }
  ByteBuffer resbuf=null;
  long resourceoffset=m_header.ResourceDirectory_VA;
  for (int i=0; i < seccount; i++) {
    PESection sect=(PESection)m_sections.get(i);
    if (sect.VirtualAddress == resourceoffset) {
      PEResourceDirectory prd=new PEResourceDirectory(this,sect);
      resbuf=prd.buildResource(sect.VirtualAddress);
      break;
    }
  }
}
"
107,main(String),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\pe\PEFile.java,jsmooth,70,2387,2359,53,0.0341,0.0109,1,12,2,"public static void main(String args[]) throws IOException, CloneNotSupportedException, Exception {
  PEFile pe=new PEFile(new File(""F:/Documents and Settings/Rodrigo/Mes documents/projects/jsmooth/skeletons/simplewrap/JWrap.exe""));
  pe.open();
  File fout=new File(""F:/Documents and Settings/Rodrigo/Mes documents/projects/jsmooth/skeletons/simplewrap/gen-application.jar"");
  FileInputStream fis=new FileInputStream(fout);
  ByteBuffer data=ByteBuffer.allocate((int)fout.length());
  data.order(ByteOrder.LITTLE_ENDIAN);
  FileChannel fischan=fis.getChannel();
  fischan.read(data);
  data.position(0);
  fis.close();
  PEResourceDirectory resdir=pe.getResourceDirectory();
  java.awt.Image img=java.awt.Toolkit.getDefaultToolkit().getImage(""c:\\gnome-color-browser2.png"");
  java.awt.MediaTracker mt=new java.awt.MediaTracker(new javax.swing.JLabel(""toto""));
  mt.addImage(img,1);
  try {
    mt.waitForAll();
  }
 catch (  Exception exc) {
    exc.printStackTrace();
  }
  ResIcon newicon=new ResIcon(img);
  pe.replaceDefaultIcon(newicon);
  File out=new File(""F:/Documents and Settings/Rodrigo/Mes documents/projects/jsmooth/skeletons/simplewrap/COPIE.exe"");
  pe.dumpTo(out);
}
"
109,dumpTo(File),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\pe\PEFile.java,jsmooth,101,4374,3698,19,0.0458,0.0449,0.5,54,15,"public void dumpTo(File destination) throws IOException, CloneNotSupportedException {
  int outputcount=0;
  FileOutputStream fos=new FileOutputStream(destination);
  FileChannel out=fos.getChannel();
  PEOldMSHeader oldmsheader=(PEOldMSHeader)this.m_oldmsheader.clone();
  PEHeader peheader=(PEHeader)m_header.clone();
  Vector sections=new Vector();
  for (int i=0; i < m_sections.size(); i++) {
    PESection sect=(PESection)m_sections.get(i);
    PESection cs=(PESection)sect.clone();
    sections.add(cs);
  }
  long newexeoffset=oldmsheader.e_lfanew;
  ByteBuffer msheadbuffer=oldmsheader.get();
  outputcount=out.write(msheadbuffer);
  this.m_channel.position(64);
  out.transferFrom(this.m_channel,64,newexeoffset - 64);
  ByteBuffer headbuffer=peheader.get();
  out.position(newexeoffset);
  outputcount=out.write(headbuffer);
  long offset=oldmsheader.e_lfanew + (m_header.NumberOfRvaAndSizes * 8) + 24+ 96;
  out.position(offset);
  for (int i=0; i < sections.size(); i++) {
    PESection sect=(PESection)sections.get(i);
    ByteBuffer buf=sect.get();
    outputcount=out.write(buf);
  }
  offset=1024;
  long virtualAddress=offset;
  if ((virtualAddress % peheader.SectionAlignment) > 0)   virtualAddress+=peheader.SectionAlignment - (virtualAddress % peheader.SectionAlignment);
  long resourceoffset=m_header.ResourceDirectory_VA;
  for (int i=0; i < sections.size(); i++) {
    PESection sect=(PESection)sections.get(i);
    if (resourceoffset == sect.VirtualAddress) {
      out.position(offset);
      long sectoffset=offset;
      PEResourceDirectory prd=this.getResourceDirectory();
      ByteBuffer resbuf=prd.buildResource(sect.VirtualAddress);
      resbuf.position(0);
      out.write(resbuf);
      offset+=resbuf.capacity();
      long rem=offset % this.m_header.FileAlignment;
      if (rem != 0)       offset+=this.m_header.FileAlignment - rem;
      if (out.size() + 1 < offset) {
        ByteBuffer padder=ByteBuffer.allocate(1);
        out.write(padder,offset - 1);
      }
      long virtualSize=resbuf.capacity();
      if ((virtualSize % peheader.FileAlignment) > 0)       virtualSize+=peheader.SectionAlignment - (virtualSize % peheader.SectionAlignment);
      sect.PointerToRawData=sectoffset;
      sect.SizeOfRawData=resbuf.capacity();
      if ((sect.SizeOfRawData % this.m_header.FileAlignment) > 0)       sect.SizeOfRawData+=(this.m_header.FileAlignment - (sect.SizeOfRawData % this.m_header.FileAlignment));
      sect.VirtualAddress=virtualAddress;
      sect.VirtualSize=virtualSize;
      virtualAddress+=virtualSize;
    }
 else     if (sect.PointerToRawData > 0) {
      out.position(offset);
      this.m_channel.position(sect.PointerToRawData);
      long sectoffset=offset;
      out.position(offset + sect.SizeOfRawData);
      ByteBuffer padder=ByteBuffer.allocate(1);
      out.write(padder,offset + sect.SizeOfRawData - 1);
      long outted=out.transferFrom(this.m_channel,offset,sect.SizeOfRawData);
      offset+=sect.SizeOfRawData;
      long rem=offset % this.m_header.FileAlignment;
      if (rem != 0) {
        offset+=this.m_header.FileAlignment - rem;
      }
      sect.PointerToRawData=sectoffset;
      sect.VirtualAddress=virtualAddress;
      virtualAddress+=sect.VirtualSize;
      if ((virtualAddress % peheader.SectionAlignment) > 0)       virtualAddress+=peheader.SectionAlignment - (virtualAddress % peheader.SectionAlignment);
    }
 else {
      long virtualSize=sect.VirtualSize;
      if ((virtualSize % peheader.SectionAlignment) > 0)       virtualSize+=peheader.SectionAlignment - (virtualSize % peheader.SectionAlignment);
      sect.VirtualAddress=virtualAddress;
      virtualAddress+=virtualSize;
    }
  }
  peheader.updateVAAndSize(m_sections,sections);
  headbuffer=peheader.get();
  out.position(newexeoffset);
  outputcount=out.write(headbuffer);
  offset=oldmsheader.e_lfanew + (m_header.NumberOfRvaAndSizes * 8) + 24+ 96;
  out.position(offset);
  for (int i=0; i < sections.size(); i++) {
    PESection sect=(PESection)sections.get(i);
    ByteBuffer buf=sect.get();
    outputcount=out.write(buf);
  }
  fos.flush();
  fos.close();
}
"
110,replaceDefaultIcon(ResIcon),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\pe\PEFile.java,jsmooth,26,279,233,10,0.1538,0.09,0.666666667,12,2,"public void replaceDefaultIcon(ResIcon icon) throws Exception {
  PEResourceDirectory resdir=getResourceDirectory();
  PEResourceDirectory.DataEntry entry=resdir.getData(""#14"",null,null);
  if (entry == null) {
    throw new Exception(""Can't find any icon group in the file!"");
  }
  entry.Data.position(0);
  entry.Data.position(0);
  ResIconDir rid=new ResIconDir(entry.Data);
  int iconid=rid.getEntries()[0].dwImageOffset;
  PEResourceDirectory.DataEntry iconentry=resdir.getData(""#3"",""#"" + iconid,null);
  iconentry.Data.position(0);
  rid.getEntries()[0].bWidth=(short)icon.Width;
  rid.getEntries()[0].bHeight=(short)(icon.Height / 2);
  rid.getEntries()[0].bColorCount=(short)(1 << icon.BitsPerPixel);
  rid.getEntries()[0].wBitCount=icon.BitsPerPixel;
  rid.getEntries()[0].dwBytesInRes=icon.getData().remaining();
  iconentry.Data=icon.getData();
  iconentry.Size=iconentry.Data.remaining();
  entry.setData(rid.getData());
}
"
113,read(),D:\temp\case study\jsmooth-0.9.9-7-src\src\net\charabia\jsmoothgen\pe\PEHeader.java,jsmooth,77,367,0,4,0.0265,0.3132,1,3,1,"public void read() throws IOException {
  FileChannel ch=m_pe.getChannel();
  ByteBuffer head=ByteBuffer.allocate(255);
  head.order(ByteOrder.LITTLE_ENDIAN);
  ch.position(m_baseoffset);
  ch.read(head);
  head.position(0);
  int pemagic=head.getInt();
  Machine=head.getShort();
  NumberOfSections=head.getShort();
  TimeDateStamp=head.getInt();
  PointerToSymbolTable=head.getInt();
  NumberOfSymbols=head.getInt();
  SizeOfOptionalHeader=head.getShort();
  Characteristics=head.getShort();
  Magic=head.getShort();
  MajorLinkerVersion=head.get();
  MinorLinkerVersion=head.get();
  SizeOfCode=head.getInt();
  SizeOfInitializedData=head.getInt();
  SizeOfUninitializedData=head.getInt();
  AddressOfEntryPoint=head.getInt();
  BaseOfCode=head.getInt();
  BaseOfData=head.getInt();
  ImageBase=head.getInt();
  SectionAlignment=head.getInt();
  FileAlignment=head.getInt();
  MajorOperatingSystemVersion=head.getShort();
  MinorOperatingSystemVersion=head.getShort();
  MajorImageVersion=head.getShort();
  MinorImageVersion=head.getShort();
  MajorSubsystemVersion=head.getShort();
  MinorSubsystemVersion=head.getShort();
  Reserved1=head.getInt();
  SizeOfImage=head.getInt();
  SizeOfHeaders=head.getInt();
  CheckSum=head.getInt();
  Subsystem=head.getShort();
  DllCharacteristics=head.getShort();
  SizeOfStackReserve=head.getInt();
  SizeOfStackCommit=head.getInt();
  SizeOfHeapReserve=head.getInt();
  SizeOfHeapCommit=head.getInt();
  LoaderFlags=head.getInt();
  NumberOfRvaAndSizes=head.getInt();
  ExportDirectory_VA=head.getInt();
  ExportDirectory_Size=head.getInt();
  ImportDirectory_VA=head.getInt();
  ImportDirectory_Size=head.getInt();
  ResourceDirectory_VA=head.getInt();
  ResourceDirectory_Size=head.getInt();
  ExceptionDirectory_VA=head.getInt();
  ExceptionDirectory_Size=head.getInt();
  SecurityDirectory_VA=head.getInt();
  SecurityDirectory_Size=head.getInt();
  BaseRelocationTable_VA=head.getInt();
  BaseRelocationTable_Size=head.getInt();
  DebugDirectory_VA=head.getInt();
  DebugDirectory_Size=head.getInt();
  ArchitectureSpecificData_VA=head.getInt();
  ArchitectureSpecificData_Size=head.getInt();
  RVAofGP_VA=head.getInt();
  RVAofGP_Size=head.getInt();
  TLSDirectory_VA=head.getInt();
  TLSDirectory_Size=head.getInt();
  LoadConfigurationDirectory_VA=head.getInt();
  LoadConfigurationDirectory_Size=head.getInt();
  BoundImportDirectoryinheaders_VA=head.getInt();
  BoundImportDirectoryinheaders_Size=head.getInt();
  ImportAddressTable_VA=head.getInt();
  ImportAddressTable_Size=head.getInt();
  DelayLoadImportDescriptors_VA=head.getInt();
  DelayLoadImportDescriptors_Size=head.getInt();
  COMRuntimedescriptor_VA=head.getInt();
  COMRuntimedescriptor_Size=head.getInt();
}
"
